house,avg_weekly_packs,avg_weekly_spend,avg_weekly_vol,shops,brands,max_spend,min_spend,prop_promo_price,prop_promo_units,avg_weekly_visits,cust_type
734548,1.2,4.9,0.23988,1,2,5,3.5,1,0,1.2,Heavy
734565,1,5,0.2999,1,1,5,5,1,0,1,Heavy
734570,1,4.5,0.2499,2,1,5,4,1,0,1,Heavy
734574,1.09677419354839,1.86774193548387,0.109574193548387,1,1,1.75,1.55,0,0,1,Light
734613,1,2.678,0.097,2,2,3,2,0.8,0,1,Light
734618,1.5,5.17214285714286,0.250021428571429,2,2,5,2.49,1,0,1,Heavy
734622,1,4.96333333333333,0.2999,1,1,5,4.89,0.666666666666667,0,1,Heavy
734632,1.41666666666667,3.61583333333333,0.2458,1,1,4,0,0.411764705882353,0.352941176470588,1,Heavy
734634,1,2.568,0.1001,2,4,3,1.85,0.6,0,1,Light
734648,1.34375,5.615625,0.292115625,2,2,7,1.75,0.906976744186046,0,1.0625,Heavy
734656,1,2.49,0.1001,1,1,2.49,2.49,1,0,1,Light
734675,1,3.3,0.1001,1,1,3.3,3.3,0,0,1,Light
734685,1,4.77833333333333,0.2999,2,1,5.89,4,0.5,0,1,Heavy
734690,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
734694,1,4.6225,0.2624,2,1,5,4,0.875,0,1,Heavy
734700,1.375,4.0325,0.2674125,1,2,3.5,2.5,0.818181818181818,0,1,Heavy
734707,1,3.28,0.1001,1,2,3.78,2.78,0,0,1,Light
734712,1.28571428571429,5.71428571428571,0.342728571428571,2,1,5,4,1,0,1,Heavy
734719,2.38461538461538,8.97923076923077,0.401138461538462,2,3,5,2,0.967741935483871,0,1,Heavy
734733,1,4.85411764705882,0.294017647058824,2,1,5.89,3.98,0.705882352941177,0,1,Heavy
734758,1.16666666666667,5.29666666666667,0.316566666666667,1,2,5.79,3,1,0,1,Heavy
734765,1.16666666666667,4.34,0.274933333333333,2,2,5,1.75,0.714285714285714,0,1,Heavy
734771,2.57575757575758,10.2963636363636,0.434769696969697,2,4,7.58,2,0.8,0,1.06060606060606,Heavy
734772,1,7,0.2999,1,1,7,7,0,0,1,Heavy
734784,2,8,0.5998,1,1,4,4,1,0,1,Heavy
734801,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
734826,1,0.4925,0.1001,2,1,0.5,0.47,0,0,1,Light
734827,1,4.4975,0.2749,1,1,5,3.99,0.75,0,1,Heavy
734854,1.16666666666667,3.5775,0.273233333333333,2,3,4,2.24,1,0,1,Heavy
734884,1.27272727272727,3.52909090909091,0.298981818181818,1,4,4.45,1.79,0.785714285714286,0,1,Heavy
734916,1,5,0.2999,1,1,5,5,1,0,1,Heavy
734940,1.2,2.2,0.11204,3,2,2.1,1.55,0,0,1.2,Light
734954,2,4,0.0998,1,1,2,2,1,0,1,Light
734963,1,2.469,0.09501,2,4,3,1.79,0.9,0,1,Light
734974,1,4.485,0.2999,2,1,4.97,4,1,0,1,Heavy
734980,1,1.5,0.1001,1,1,1.5,1.5,1,0,1,Light
735052,1.625,7.2475,0.3373625,1,3,5,2.97,0.230769230769231,0,1,Heavy
735053,1.25,6.185,0.26245,1,1,7.45,3.75,0.2,0,1,Heavy
735079,1,1.99,0.1001,1,1,1.99,1.99,1,0,1,Light
735133,1.66666666666667,5,0.25,1,1,3,3,1,0,1,Heavy
735134,1.85714285714286,8.36,0.342728571428571,3,1,5.99,0,0.692307692307692,0.230769230769231,1.14285714285714,Heavy
735145,1,3,0.0999,2,3,4,2,0.666666666666667,0,1,Light
735159,1.09090909090909,3.00363636363636,0.0981818181818182,3,1,3.3,2,0.5,0,1,Light
735160,1,2.93333333333333,0.1001,1,2,4.2,1.85,0,0,1,Light
735167,1.22222222222222,3.62555555555556,0.299877777777778,2,4,5,1.95,0.454545454545455,0,1,Heavy
735169,1.14285714285714,4.41285714285714,0.235642857142857,4,3,6,1.75,0.5,0,1,Heavy
735179,1.5,6.245,0.37485,1,1,5,0,0.666666666666667,0.333333333333333,1,Heavy
735196,1.71428571428571,4.51571428571429,0.385542857142857,1,1,3.99,2,0.972222222222222,0.0277777777777778,1.04761904761905,Heavy
735203,1,1.88181818181818,0.109027272727273,2,1,3.4,1.55,0,0,1,Light
735204,1.2,5.34,0.60012,1,1,4.45,4.45,0,0,1,Heavy
735209,3,6,0.5997,1,1,2,2,0.291666666666667,0,1,Heavy
735225,1,4.934,0.2999,2,1,5,4.89,0.4,0.2,1,Heavy
735227,1,1.99,0.1001,1,1,1.99,1.99,0,0,1,Light
735250,1,4.92666666666667,0.2999,1,1,5,4.89,0.666666666666667,0,1,Heavy
735259,1,3.5,0.1001,1,1,3.5,3.5,1,0,1,Light
735269,1,5.69,0.4201,2,2,7,3,0.4,0,1,Heavy
735271,1.625,6.1625,0.34245,2,3,7,2.15,0.769230769230769,0,1,Heavy
