"","house","brand_clean","brand_count"
"379",26739,"Kenco",1
"380",26739,"Nescafe",3
"381",26739,"Supermarket own",1
"382",26746,"Nescafe",2
"383",26746,"Supermarket own",8
"384",26749,"Douwe Egbert",4
"385",26749,"Supermarket own",1
"386",26785,"Supermarket own",10
"387",26975,"Douwe Egbert",1
"388",27005,"Nescafe",1
"389",27005,"Supermarket own",12
"390",27045,"Douwe Egbert",3
"391",27045,"Kenco",1
"392",27045,"Nescafe",1
"393",27180,"Supermarket own",1
"394",27202,"Nescafe",1
"395",27235,"Nescafe",10
"396",27235,"Supermarket own",2
"397",27412,"Nescafe",2
"398",27429,"Douwe Egbert",5
"399",27429,"Nescafe",9
"400",27429,"Other brands",1
"401",27474,"Supermarket own",7
"402",27562,"Carte Noire",2
"403",27788,"Nescafe",12
"404",27884,"Nescafe",9
"405",27888,"Kenco",7
"406",27902,"Douwe Egbert",5
"407",27948,"Kenco",5
"408",28374,"Carte Noire",1
"409",28374,"Douwe Egbert",1
"410",28374,"Supermarket own",1
"411",28432,"Supermarket own",6
"412",28585,"Nescafe",1
"413",28595,"Douwe Egbert",4
"414",28595,"Nescafe",8
"415",28720,"Douwe Egbert",9
"416",28720,"Kenco",19
"417",28749,"Kenco",2
"418",28749,"Nescafe",1
"419",28779,"Supermarket own",4
"420",28853,"Douwe Egbert",8
"421",28927,"Other brands",1
"422",28927,"Supermarket own",2
"423",29000,"Nescafe",2
"424",29000,"Other brands",3
"425",29017,"Nescafe",21
"426",29095,"Supermarket own",18
"427",29125,"Douwe Egbert",1
"428",29125,"Kenco",13
"429",29280,"Douwe Egbert",16
"430",29280,"Kenco",3
"431",29425,"Kenco",3
"432",29454,"Douwe Egbert",2
"433",29454,"Nescafe",8
"434",29473,"Supermarket own",14
"435",29624,"Douwe Egbert",5
"436",29667,"Carte Noire",25
"437",29667,"Kenco",1
"438",29667,"Nescafe",1
"439",29733,"Carte Noire",3
"440",29733,"Kenco",5
"441",29733,"Nescafe",5
"442",29733,"Other brands",2
"443",29886,"Kenco",2
"444",29886,"Supermarket own",2
"445",29907,"Nescafe",1
"446",29907,"Supermarket own",11
"447",30000,"Nescafe",4
"448",30021,"Nescafe",2
"449",30098,"Kenco",2
"450",30233,"Other brands",3
"451",30233,"Supermarket own",1
"452",30243,"Kenco",3
"453",30243,"Nescafe",2
"454",30471,"Douwe Egbert",2
"455",30471,"Nescafe",2
"456",30575,"Nescafe",1
"457",30705,"Supermarket own",3
"458",30877,"Kenco",3
"459",30890,"Douwe Egbert",2
"460",30896,"Kenco",1
"461",30896,"Supermarket own",1
"462",30943,"Nescafe",4
"463",31029,"Nescafe",21
"464",31059,"Supermarket own",1
"465",31151,"Douwe Egbert",1
"466",31151,"Kenco",5
"467",31175,"Douwe Egbert",1
"468",31175,"Kenco",2
"469",31175,"Supermarket own",22
"470",31189,"Carte Noire",1
"471",31189,"Kenco",5
"472",31282,"Carte Noire",1
"473",31319,"Supermarket own",18
"474",31384,"Douwe Egbert",2
"475",31384,"Nescafe",1
"476",31614,"Douwe Egbert",1
"477",31614,"Nescafe",4
"478",31614,"Supermarket own",1
"479",31644,"Carte Noire",4
"480",31644,"Douwe Egbert",5
"481",31644,"Kenco",2
"482",31644,"Other brands",1
"483",31656,"Carte Noire",1
"484",31656,"Douwe Egbert",1
"485",31656,"Kenco",6
"486",31656,"Nescafe",2
"487",31742,"Douwe Egbert",1
"488",31742,"Nescafe",1
"489",31920,"Kenco",10
"490",32097,"Douwe Egbert",1
"491",32097,"Nescafe",1
"492",32107,"Carte Noire",4
"493",32107,"Kenco",1
"494",32389,"Nescafe",1
"495",32733,"Supermarket own",4
"496",32952,"Nescafe",1
"497",32987,"Carte Noire",1
"498",32987,"Douwe Egbert",1
"499",32987,"Kenco",6
"500",32987,"Nescafe",1
"501",32987,"Supermarket own",10
"502",33061,"Nescafe",2
"503",33395,"Nescafe",12
"504",33485,"Kenco",1
"505",33485,"Nescafe",8
"506",33715,"Nescafe",1
"507",33715,"Supermarket own",1
"508",33903,"Nescafe",1
"509",33915,"Kenco",6
"510",33915,"Supermarket own",7
"511",34185,"Kenco",1
"512",34185,"Nescafe",4
"513",34263,"Nescafe",18
"514",34336,"Supermarket own",17
"515",34516,"Nescafe",3
"516",34591,"Nescafe",2
"517",34715,"Kenco",4
"518",34738,"Kenco",1
"519",34799,"Nescafe",1
"520",35038,"Nescafe",2
"521",35299,"Supermarket own",2
"522",35332,"Nescafe",29
"523",35384,"Kenco",1
"524",35384,"Nescafe",1
"525",35630,"Douwe Egbert",1
"526",35630,"Nescafe",1
"527",35630,"Other brands",5
"528",35634,"Nescafe",1
"529",35661,"Douwe Egbert",2
"530",35661,"Nescafe",3
"531",35661,"Other brands",1
"532",35661,"Supermarket own",1
"533",35686,"Supermarket own",15
"534",35813,"Supermarket own",1
"535",35929,"Nescafe",5
"536",35929,"Supermarket own",2
"537",35973,"Nescafe",4
"538",36311,"Kenco",16
"539",36336,"Nescafe",3
"540",36561,"Kenco",1
"541",36759,"Nescafe",1
"542",36765,"Nescafe",2
"543",36850,"Kenco",6
"544",36995,"Nescafe",14
"545",37086,"Nescafe",4
"546",37196,"Supermarket own",1
"547",37320,"Douwe Egbert",1
"548",37320,"Nescafe",14
"549",37355,"Supermarket own",1
"550",37399,"Carte Noire",6
"551",37399,"Douwe Egbert",3
"552",37399,"Kenco",1
"553",37400,"Supermarket own",12
"554",37435,"Nescafe",1
"555",37437,"Douwe Egbert",1
"556",37437,"Kenco",1
"557",37519,"Other brands",2
"558",37576,"Douwe Egbert",4
"559",37576,"Kenco",2
"560",37576,"Supermarket own",9
"561",37676,"Nescafe",1
"562",37854,"Kenco",3
"563",37957,"Carte Noire",2
"564",37957,"Douwe Egbert",5
"565",37957,"Kenco",1
"566",37957,"Nescafe",1
"567",38024,"Other brands",2
"568",38024,"Supermarket own",27
"569",38118,"Nescafe",1
"570",38143,"Kenco",2
"571",38346,"Supermarket own",1
"572",38514,"Carte Noire",2
"573",38514,"Douwe Egbert",2
"574",38514,"Kenco",4
"575",38514,"Nescafe",7
"576",38514,"Other brands",42
"577",38713,"Carte Noire",4
"578",38713,"Douwe Egbert",2
"579",38713,"Kenco",17
"580",38713,"Nescafe",3
"581",38713,"Supermarket own",2
"582",38971,"Other brands",10
"583",39090,"Supermarket own",2
"584",39316,"Nescafe",1
"585",39622,"Supermarket own",1
"586",39635,"Douwe Egbert",4
"587",39635,"Other brands",11
"588",39689,"Douwe Egbert",1
"589",39689,"Other brands",1
"590",40282,"Douwe Egbert",12
"591",40282,"Kenco",8
"592",40282,"Nescafe",2
"593",40345,"Supermarket own",1
"594",40456,"Carte Noire",15
"595",40456,"Douwe Egbert",1
"596",40456,"Kenco",1
"597",40456,"Nescafe",2
"598",40466,"Carte Noire",4
"599",40530,"Douwe Egbert",1
"600",40536,"Nescafe",1
"601",40770,"Kenco",3
"602",40964,"Supermarket own",2
"603",41190,"Kenco",8
"604",41324,"Carte Noire",14
"605",41324,"Supermarket own",1
"606",41568,"Douwe Egbert",2
"607",41568,"Supermarket own",8
"608",41591,"Douwe Egbert",11
"609",41614,"Carte Noire",1
"610",41614,"Douwe Egbert",1
"611",41657,"Douwe Egbert",5
"612",41657,"Kenco",1
"613",41657,"Nescafe",1
"614",41717,"Supermarket own",13
"615",41876,"Supermarket own",5
"616",41897,"Douwe Egbert",1
"617",41897,"Nescafe",2
"618",41923,"Kenco",11
"619",42060,"Nescafe",2
"620",42098,"Carte Noire",1
"621",42215,"Carte Noire",2
"622",42215,"Supermarket own",16
"623",42410,"Kenco",1
"624",42415,"Supermarket own",8
"625",42565,"Douwe Egbert",3
"626",42755,"Carte Noire",1
"627",42755,"Douwe Egbert",7
"628",42755,"Kenco",8
"629",42755,"Nescafe",3
"630",42781,"Douwe Egbert",2
"631",42812,"Kenco",1
"632",42812,"Nescafe",8
"633",42867,"Nescafe",1
"634",42891,"Carte Noire",18
"635",42991,"Kenco",6
"636",42991,"Nescafe",5
"637",43123,"Carte Noire",7
"638",43123,"Supermarket own",8
"639",43192,"Nescafe",2
"640",43202,"Kenco",9
"641",43202,"Nescafe",8
"642",43378,"Supermarket own",6
"643",43645,"Nescafe",2
"644",43693,"Douwe Egbert",1
"645",43693,"Kenco",4
"646",43693,"Nescafe",4
"647",43934,"Kenco",5
"648",43934,"Supermarket own",2
"649",44073,"Nescafe",17
"650",44184,"Douwe Egbert",1
"651",44184,"Supermarket own",9
"652",44189,"Nescafe",14
"653",44345,"Kenco",3
"654",44511,"Douwe Egbert",5
"655",44511,"Nescafe",2
"656",45163,"Carte Noire",1
"657",45163,"Kenco",2
"658",45163,"Nescafe",1
"659",45301,"Carte Noire",1
"660",45392,"Douwe Egbert",10
"661",45392,"Supermarket own",4
"662",45396,"Douwe Egbert",1
"663",45396,"Kenco",2
"664",45396,"Nescafe",1
"665",45405,"Carte Noire",12
"666",45407,"Douwe Egbert",1
"667",45407,"Kenco",1
"668",45407,"Nescafe",7
"669",45575,"Other brands",1
"670",45575,"Supermarket own",1
"671",45729,"Kenco",1
"672",45729,"Nescafe",1
"673",45884,"Nescafe",1
"674",45946,"Nescafe",1
"675",46035,"Nescafe",1
"676",46224,"Douwe Egbert",1
"677",46262,"Nescafe",7
"678",46573,"Nescafe",6
"679",46573,"Supermarket own",1
"680",46688,"Carte Noire",1
"681",46688,"Douwe Egbert",5
"682",46688,"Kenco",1
"683",46688,"Nescafe",1
"684",46698,"Kenco",1
"685",46698,"Nescafe",9
"686",46919,"Douwe Egbert",5
"687",47271,"Douwe Egbert",31
"688",47326,"Carte Noire",1
"689",47326,"Douwe Egbert",2
"690",47326,"Nescafe",2
"691",47420,"Kenco",6
"692",47420,"Other brands",8
"693",47632,"Kenco",1
"694",47675,"Nescafe",5
"695",47802,"Douwe Egbert",2
"696",47802,"Other brands",1
"697",48063,"Nescafe",1
"698",48063,"Other brands",2
"699",48063,"Supermarket own",1
"700",48318,"Kenco",1
"701",48550,"Nescafe",1
"702",48550,"Supermarket own",8
"703",48583,"Nescafe",1
"704",48755,"Douwe Egbert",1
"705",48755,"Nescafe",1
"706",48755,"Supermarket own",1
"707",48756,"Douwe Egbert",1
"708",48756,"Kenco",7
"709",48759,"Nescafe",1
"710",48854,"Supermarket own",25
"711",48902,"Douwe Egbert",2
"712",48980,"Douwe Egbert",2
"713",48980,"Kenco",1
"714",49038,"Supermarket own",1
"715",49094,"Nescafe",10
"716",49164,"Supermarket own",1
"717",49392,"Kenco",7
"718",49461,"Douwe Egbert",1
"719",49461,"Kenco",1
"720",49461,"Nescafe",1
"721",49461,"Supermarket own",1
"722",49630,"Nescafe",11
"723",49784,"Kenco",1
"724",49836,"Nescafe",11
"725",49885,"Kenco",1
"726",49934,"Douwe Egbert",3
"727",49981,"Nescafe",20
"728",49984,"Douwe Egbert",6
"729",49984,"Nescafe",2
"730",49984,"Supermarket own",6
"731",50090,"Kenco",1
"732",50094,"Carte Noire",5
"733",50094,"Douwe Egbert",1
"734",50094,"Kenco",2
"735",50110,"Kenco",2
"736",50110,"Nescafe",9
"737",50112,"Kenco",3
"738",50112,"Supermarket own",1
"739",50266,"Nescafe",1
"740",50281,"Douwe Egbert",17
"741",50281,"Nescafe",4
"742",50318,"Douwe Egbert",4
"743",50318,"Kenco",1
"744",50318,"Other brands",2
"745",50382,"Carte Noire",3
"746",50414,"Carte Noire",5
"747",50414,"Douwe Egbert",7
"748",50414,"Nescafe",1
"749",50416,"Kenco",8
"750",50416,"Nescafe",1
"751",50553,"Kenco",2
"752",50599,"Supermarket own",1
"753",50634,"Supermarket own",9
"754",50642,"Nescafe",7
"755",50642,"Supermarket own",3
"756",50643,"Supermarket own",15
"757",50649,"Nescafe",2
"758",50668,"Nescafe",3
"759",50684,"Supermarket own",2
"760",50763,"Douwe Egbert",3
"761",50778,"Douwe Egbert",2
"762",50778,"Nescafe",6
"763",50918,"Nescafe",2
"764",50918,"Supermarket own",1
"765",50957,"Nescafe",5
"766",50973,"Supermarket own",1
"767",51093,"Nescafe",1
"768",51127,"Kenco",5
"769",51143,"Supermarket own",1
"770",51209,"Nescafe",2
"771",51254,"Douwe Egbert",2
"772",51254,"Kenco",1
"773",51254,"Supermarket own",8
"774",51291,"Nescafe",2
"775",51300,"Nescafe",6
"776",51300,"Supermarket own",1
"777",51345,"Douwe Egbert",3
"778",51345,"Supermarket own",3
"779",51353,"Nescafe",2
"780",51353,"Supermarket own",8
"781",51376,"Nescafe",2
"782",51413,"Supermarket own",2
"783",51414,"Nescafe",11
"784",51499,"Carte Noire",1
"785",51499,"Douwe Egbert",1
"786",51499,"Nescafe",4
"787",51499,"Supermarket own",1
"788",51549,"Douwe Egbert",1
"789",51549,"Supermarket own",1
"790",51688,"Kenco",1
"791",51688,"Nescafe",2
"792",51688,"Other brands",5
"793",51768,"Douwe Egbert",2
"794",51768,"Nescafe",3
"795",51773,"Nescafe",1
"796",51809,"Kenco",2
"797",51809,"Nescafe",4
"798",51913,"Kenco",2
"799",51915,"Carte Noire",1
"800",52003,"Nescafe",1
"801",52014,"Kenco",1
