"","house","shop_desc_clean","brand_count"
"544",41568,"morrisons",2
"545",41591,"sainsburys",11
"546",41614,"sainsburys",2
"547",41657,"morrisons",2
"548",41657,"sainsburys",4
"549",41657,"tesco",1
"550",41717,"tesco",13
"551",41876,"aldi & lidl",4
"552",41876,"tesco",1
"553",41897,"morrisons",2
"554",41897,"tesco",1
"555",41923,"tesco",11
"556",42060,"morrisons",1
"557",42060,"tesco",1
"558",42098,"sainsburys",1
"559",42215,"asda",18
"560",42410,"asda",1
"561",42415,"sainsburys",5
"562",42415,"tesco",3
"563",42565,"sainsburys",1
"564",42565,"tesco",2
"565",42755,"morrisons",18
"566",42755,"sainsburys",1
"567",42781,"morrisons",2
"568",42812,"aldi & lidl",1
"569",42812,"asda",8
"570",42867,"tesco",1
"571",42891,"asda",18
"572",42991,"sainsburys",7
"573",42991,"tesco",4
"574",43123,"asda",3
"575",43123,"tesco",12
"576",43192,"asda",2
"577",43202,"asda",3
"578",43202,"sainsburys",14
"579",43378,"aldi & lidl",6
"580",43645,"aldi & lidl",1
"581",43645,"asda",1
"582",43693,"asda",4
"583",43693,"morrisons",2
"584",43693,"tesco",3
"585",43934,"sainsburys",1
"586",43934,"tesco",6
"587",44073,"morrisons",2
"588",44073,"sainsburys",15
"589",44184,"tesco",10
"590",44189,"aldi & lidl",1
"591",44189,"sainsburys",1
"592",44189,"tesco",12
"593",44345,"asda",3
"594",44511,"morrisons",7
"595",45163,"sainsburys",4
"596",45301,"asda",1
"597",45392,"asda",7
"598",45392,"tesco",7
"599",45396,"tesco",4
"600",45405,"asda",12
"601",45407,"asda",6
"602",45407,"tesco",3
"603",45575,"aldi & lidl",1
"604",45575,"morrisons",1
"605",45729,"sainsburys",1
"606",45729,"tesco",1
"607",45884,"aldi & lidl",1
"608",45946,"tesco",1
"609",46035,"asda",1
"610",46224,"tesco",1
"611",46262,"morrisons",7
"612",46573,"tesco",7
"613",46688,"asda",1
"614",46688,"tesco",7
"615",46698,"asda",2
"616",46698,"morrisons",8
"617",46919,"tesco",5
"618",47271,"morrisons",31
"619",47326,"tesco",5
"620",47420,"morrisons",6
"621",47420,"tesco",8
"622",47632,"sainsburys",1
"623",47675,"asda",5
"624",47802,"sainsburys",3
"625",48063,"asda",3
"626",48063,"tesco",1
"627",48318,"morrisons",1
"628",48550,"asda",9
"629",48583,"sainsburys",1
"630",48755,"aldi & lidl",1
"631",48755,"sainsburys",1
"632",48755,"tesco",1
"633",48756,"asda",4
"634",48756,"sainsburys",4
"635",48759,"morrisons",1
"636",48854,"asda",24
"637",48854,"tesco",1
"638",48902,"tesco",2
"639",48980,"asda",3
"640",49038,"tesco",1
"641",49094,"morrisons",10
"642",49164,"aldi & lidl",1
"643",49392,"tesco",7
"644",49461,"asda",3
"645",49461,"morrisons",1
"646",49630,"asda",2
"647",49630,"sainsburys",7
"648",49630,"tesco",2
"649",49784,"tesco",1
"650",49836,"sainsburys",11
"651",49885,"asda",1
"652",49934,"asda",3
"653",49981,"tesco",20
"654",49984,"aldi & lidl",8
"655",49984,"morrisons",6
"656",50090,"morrisons",1
"657",50094,"tesco",8
"658",50110,"asda",7
"659",50110,"tesco",4
"660",50112,"morrisons",1
"661",50112,"tesco",3
"662",50266,"asda",1
"663",50281,"aldi & lidl",4
"664",50281,"asda",5
"665",50281,"morrisons",6
"666",50281,"tesco",6
"667",50318,"morrisons",7
"668",50382,"morrisons",1
"669",50382,"tesco",2
"670",50414,"asda",12
"671",50414,"tesco",1
"672",50416,"morrisons",9
"673",50553,"asda",1
"674",50553,"tesco",1
"675",50599,"tesco",1
"676",50634,"sainsburys",9
"677",50642,"sainsburys",10
"678",50643,"morrisons",15
"679",50649,"tesco",2
"680",50668,"morrisons",1
"681",50668,"tesco",2
"682",50684,"sainsburys",2
"683",50763,"asda",3
"684",50778,"sainsburys",8
"685",50918,"asda",3
"686",50957,"morrisons",5
"687",50973,"tesco",1
"688",51093,"sainsburys",1
"689",51127,"asda",5
"690",51143,"tesco",1
"691",51209,"asda",2
"692",51254,"asda",11
"693",51291,"aldi & lidl",1
"694",51291,"asda",1
"695",51300,"aldi & lidl",1
"696",51300,"morrisons",6
"697",51345,"asda",6
"698",51353,"aldi & lidl",10
"699",51376,"tesco",2
"700",51413,"asda",2
"701",51414,"asda",11
"702",51499,"asda",1
"703",51499,"tesco",6
"704",51549,"sainsburys",1
"705",51549,"tesco",1
"706",51688,"tesco",8
"707",51768,"asda",5
"708",51773,"tesco",1
"709",51809,"asda",6
"710",51913,"morrisons",2
"711",51915,"sainsburys",1
"712",52003,"morrisons",1
"713",52014,"aldi & lidl",1
"714",52014,"sainsburys",1
"715",52014,"tesco",8
"716",52023,"morrisons",2
"717",52243,"tesco",6
"718",52290,"sainsburys",5
"719",52442,"sainsburys",1
"720",52567,"asda",7
"721",52570,"aldi & lidl",2
"722",52570,"morrisons",2
"723",52594,"tesco",3
"724",52630,"sainsburys",2
"725",52630,"tesco",19
"726",52739,"sainsburys",15
"727",52816,"sainsburys",4
"728",52821,"tesco",1
"729",52977,"asda",9
"730",52977,"tesco",1
"731",52997,"aldi & lidl",4
"732",52997,"sainsburys",2
"733",52997,"tesco",2
"734",53133,"morrisons",4
"735",53133,"sainsburys",3
"736",53133,"tesco",4
"737",53143,"asda",2
"738",53143,"tesco",2
"739",53200,"morrisons",1
"740",53228,"sainsburys",1
"741",53299,"asda",1
"742",53321,"asda",1
"743",53321,"sainsburys",3
"744",53321,"tesco",9
"745",53338,"aldi & lidl",1
"746",53338,"morrisons",10
"747",53383,"asda",2
"748",53517,"asda",1
"749",53517,"morrisons",4
"750",53517,"tesco",1
"751",53527,"tesco",2
"752",53570,"tesco",2
"753",53883,"asda",12
"754",53912,"asda",2
"755",53928,"asda",24
"756",53928,"morrisons",5
"757",53938,"tesco",6
"758",53965,"tesco",5
"759",54045,"morrisons",1
"760",54073,"sainsburys",6
"761",54116,"sainsburys",3
"762",54162,"morrisons",1
"763",54162,"tesco",3
"764",54191,"morrisons",1
"765",54255,"morrisons",1
"766",54255,"tesco",4
"767",54279,"tesco",4
"768",54337,"asda",4
"769",54379,"asda",1
"770",54390,"aldi & lidl",1
"771",54390,"asda",1
"772",54390,"morrisons",1
"773",54468,"morrisons",4
"774",54480,"sainsburys",1
"775",54491,"morrisons",4
"776",54497,"tesco",4
"777",54508,"asda",20
"778",54526,"sainsburys",2
"779",54526,"tesco",4
"780",54553,"aldi & lidl",34
"781",54579,"morrisons",3
"782",54579,"sainsburys",10
"783",54586,"tesco",2
"784",54612,"sainsburys",1
"785",54687,"aldi & lidl",21
"786",54687,"asda",2
"787",54733,"asda",17
"788",54771,"sainsburys",11
"789",54811,"aldi & lidl",2
"790",54901,"asda",4
"791",54901,"morrisons",1
"792",54999,"sainsburys",1
"793",55028,"tesco",15
"794",55074,"tesco",5
"795",55212,"asda",1
"796",55212,"morrisons",1
"797",55347,"morrisons",2
"798",55374,"tesco",5
"799",55380,"morrisons",1
"800",55401,"aldi & lidl",8
"801",55401,"sainsburys",6
"802",55444,"morrisons",2
"803",55483,"tesco",1
"804",55490,"morrisons",1
"805",55490,"tesco",1
"806",55518,"sainsburys",3
"807",55530,"morrisons",1
"808",55530,"tesco",2
"809",55556,"morrisons",1
"810",55556,"tesco",2
"811",55594,"sainsburys",1
"812",55640,"sainsburys",2
"813",55680,"sainsburys",11
"814",55741,"sainsburys",1
"815",55741,"tesco",4
"816",55750,"tesco",1
"817",55783,"aldi & lidl",3
"818",55803,"asda",1
"819",55803,"morrisons",2
"820",55803,"tesco",2
"821",55809,"tesco",1
"822",55811,"sainsburys",3
"823",55813,"morrisons",1
"824",55965,"tesco",4
"825",56050,"asda",1
"826",56050,"morrisons",9
"827",56095,"aldi & lidl",3
"828",56095,"morrisons",15
"829",56106,"sainsburys",49
"830",56131,"tesco",11
"831",56154,"sainsburys",15
"832",56154,"tesco",3
"833",56186,"asda",1
"834",56192,"sainsburys",1
"835",56284,"asda",5
"836",56372,"sainsburys",15
"837",56375,"asda",9
"838",56375,"tesco",4
"839",56411,"morrisons",7
"840",56411,"sainsburys",1
"841",56437,"tesco",9
"842",56489,"asda",1
"843",56589,"tesco",14
"844",56614,"aldi & lidl",11
"845",56614,"asda",6
"846",56614,"morrisons",2
"847",56614,"sainsburys",2
"848",56614,"tesco",1
"849",56670,"asda",6
"850",56670,"tesco",1
"851",56721,"asda",1
"852",56721,"morrisons",2
"853",56721,"tesco",3
"854",56726,"morrisons",1
"855",56806,"sainsburys",1
"856",56806,"tesco",1
"857",56807,"asda",1
"858",56807,"morrisons",6
"859",56807,"sainsburys",2
"860",56807,"tesco",2
"861",56850,"asda",1
"862",56899,"asda",1
"863",56899,"morrisons",1
"864",56917,"tesco",42
"865",56994,"morrisons",10
"866",57013,"asda",1
"867",57013,"sainsburys",1
"868",57101,"morrisons",1
"869",57101,"tesco",3
"870",57398,"aldi & lidl",1
"871",57398,"asda",6
"872",57433,"asda",1
"873",57433,"tesco",1
"874",57458,"morrisons",3
"875",57466,"tesco",2
"876",57585,"asda",1
"877",57585,"tesco",1
"878",57613,"sainsburys",4
"879",57627,"tesco",5
"880",57702,"sainsburys",20
"881",57702,"tesco",1
"882",57844,"morrisons",6
"883",57844,"sainsburys",1
"884",58029,"asda",3
"885",58029,"tesco",1
"886",58107,"sainsburys",3
"887",58134,"tesco",1
"888",58182,"asda",2
"889",58182,"morrisons",2
"890",58197,"asda",2
"891",58197,"tesco",1
"892",58224,"tesco",1
"893",58259,"tesco",10
"894",58264,"morrisons",9
"895",58264,"tesco",10
"896",58275,"tesco",4
"897",58333,"asda",1
"898",58333,"morrisons",1
"899",58440,"tesco",1
"900",58458,"asda",11
"901",58508,"sainsburys",13
"902",58524,"asda",1
"903",58524,"tesco",10
"904",58540,"aldi & lidl",2
"905",58540,"sainsburys",2
"906",58649,"tesco",6
"907",58661,"asda",1
"908",58661,"morrisons",26
"909",58661,"tesco",1
"910",58667,"asda",7
"911",58755,"tesco",5
"912",58957,"aldi & lidl",8
"913",58957,"asda",1
"914",58957,"sainsburys",7
"915",59038,"asda",8
"916",59064,"asda",1
"917",59114,"asda",2
"918",59114,"tesco",11
"919",59116,"asda",1
"920",59116,"morrisons",1
"921",59116,"sainsburys",1
"922",59120,"tesco",9
"923",59153,"asda",2
"924",59153,"tesco",2
"925",59167,"sainsburys",2
"926",59232,"asda",5
"927",59232,"morrisons",2
"928",59232,"sainsburys",1
"929",59249,"asda",1
"930",59249,"morrisons",2
"931",59277,"asda",2
"932",59277,"sainsburys",2
"933",59279,"tesco",2
"934",59314,"sainsburys",19
"935",59327,"asda",11
"936",59327,"morrisons",1
"937",59383,"tesco",4
"938",59391,"tesco",1
"939",59469,"tesco",4
"940",59484,"sainsburys",4
"941",59484,"tesco",1
"942",59501,"morrisons",9
"943",59520,"asda",1
"944",59521,"asda",3
"945",59583,"aldi & lidl",11
"946",59583,"asda",1
"947",59583,"tesco",10
"948",59735,"sainsburys",1
"949",59748,"asda",3
"950",59748,"morrisons",1
"951",59748,"tesco",4
"952",59759,"asda",1
"953",59759,"morrisons",6
"954",59759,"tesco",1
"955",59982,"asda",1
"956",60025,"aldi & lidl",2
"957",60025,"sainsburys",1
"958",60025,"tesco",1
"959",60029,"tesco",1
"960",60095,"tesco",1
"961",60101,"asda",3
"962",60108,"tesco",5
"963",60126,"morrisons",1
"964",60134,"tesco",7
"965",60161,"aldi & lidl",1
"966",60161,"asda",5
"967",60161,"tesco",2
"968",60209,"morrisons",1
"969",60250,"sainsburys",1
"970",60346,"sainsburys",7
"971",60346,"tesco",1
"972",60475,"tesco",2
"973",60496,"sainsburys",3
"974",60496,"tesco",4
"975",60521,"asda",3
"976",60521,"morrisons",2
"977",60521,"tesco",4
"978",60589,"morrisons",4
"979",60602,"asda",13
"980",60679,"sainsburys",3
"981",60695,"asda",4
"982",60786,"aldi & lidl",2
"983",60827,"sainsburys",19
"984",60849,"sainsburys",1
"985",60904,"asda",1
"986",61034,"asda",3
"987",61034,"tesco",2
"988",61127,"morrisons",2
"989",61215,"asda",1
"990",61360,"aldi & lidl",2
"991",61360,"tesco",1
"992",61459,"sainsburys",5
"993",61459,"tesco",1
"994",61515,"sainsburys",2
"995",61740,"tesco",2
"996",61747,"aldi & lidl",1
"997",61747,"tesco",11
"998",61826,"asda",1
"999",61826,"sainsburys",13
"1000",61844,"morrisons",1
"1001",61880,"morrisons",13
"1002",61924,"morrisons",4
"1003",61962,"morrisons",16
"1004",61992,"tesco",2
"1005",62034,"asda",6
"1006",62149,"aldi & lidl",2
"1007",62149,"morrisons",1
"1008",62149,"sainsburys",3
"1009",62149,"tesco",2
"1010",62156,"morrisons",2
"1011",62156,"tesco",3
"1012",62165,"morrisons",9
